"자치구별(1)",자치구별(2),2023. 01,2023. 02,2023. 03,2023. 04,2023. 05,2023. 06,2023. 07,2023. 08,2023. 09,2023. 10,2023. 11,2023. 12,2024. 01,2024. 02,2024. 03,2024. 04,2024. 05,2024. 06,2024. 07,2024. 08,2024. 09,2024. 10,2024. 11,2024. 12,2025. 01,2025. 02,2025. 03,2025. 04,2025. 05,2025. 06,2025. 07,2025. 08,2025. 09,2025. 10,2025. 11,2025. 12
"자치구별(1)",자치구별(2),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수),동(호)수 (호수)
"합계",소계,1161,2286,3234,2981,3711,4136,3804,4091,3845,2983,2417,1790,2456,2665,3482,4840,5182,6150,9518,7609,4951,4000,3773,3656,3233,4743,9349,8029,7221,10814,8485,4154,6796,11041,4395,4871
"합계",종로구,7,17,31,22,34,32,32,36,46,37,32,20,24,22,37,42,60,55,82,46,38,39,48,27,23,44,68,80,45,88,70,45,53,105,45,40
"합계",중구,14,32,31,41,62,64,65,63,66,43,61,33,42,47,57,69,84,70,150,104,65,65,54,67,69,96,151,139,104,180,126,56,100,192,69,78
"합계",용산구,11,28,30,46,52,60,66,59,64,69,64,39,35,51,60,96,84,134,162,176,87,92,73,78,68,88,247,175,83,115,187,155,132,122,139,101
"합계",성동구,31,79,120,109,165,168,189,202,182,133,105,76,110,114,188,253,260,389,463,386,233,150,149,174,161,280,579,459,407,808,423,137,424,612,134,189
"합계",광진구,27,45,50,53,66,84,64,66,89,61,48,39,67,68,75,112,88,234,247,174,111,83,80,77,93,104,244,210,186,321,219,70,199,331,122,79
"합계",동대문구,58,105,128,147,151,196,169,146,159,107,112,69,106,109,150,212,238,232,403,305,198,152,201,162,155,211,373,396,432,557,362,183,366,706,179,270
"합계",중랑구,26,61,66,71,99,143,107,75,87,93,75,52,74,68,110,145,148,156,220,204,143,142,93,84,78,116,173,167,156,273,205,314,263,288,111,156
"합계",성북구,134,153,157,161,217,179,192,203,192,168,127,130,139,156,177,256,280,297,535,403,263,226,180,146,142,247,389,336,419,569,418,300,419,667,198,329
"합계",강북구,21,35,71,51,67,125,71,170,76,40,92,30,50,38,79,57,82,88,144,106,86,77,53,49,52,84,95,106,112,160,120,73,109,135,55,108
"합계",도봉구,38,99,104,87,118,105,105,120,129,90,77,56,87,81,131,136,145,148,204,204,153,123,106,98,68,115,163,176,145,218,244,136,186,215,83,141
"합계",노원구,95,176,206,180,264,270,268,320,288,231,207,142,179,202,263,350,330,380,665,589,396,297,306,256,191,314,537,467,499,743,587,331,497,760,229,435
"합계",은평구,47,81,357,138,147,142,140,169,149,107,96,65,81,98,154,221,214,325,303,282,181,141,126,162,102,149,242,220,227,359,308,176,249,462,182,217
"합계",서대문구,36,166,114,114,120,150,124,172,172,108,75,56,84,97,110,185,184,248,420,280,181,151,131,206,212,145,317,272,272,519,292,116,259,514,172,232
"합계",마포구,100,83,122,122,176,181,183,188,163,106,84,68,101,113,157,263,260,306,466,376,203,168,159,130,146,227,550,423,402,661,359,139,333,673,133,124
"합계",양천구,35,105,122,144,147,165,161,198,188,132,129,89,100,136,157,154,213,234,395,406,270,182,157,165,103,173,425,371,339,556,335,94,293,548,164,244
"합계",강서구,55,106,164,168,171,222,170,209,184,156,138,105,126,154,151,248,272,288,431,394,249,195,170,160,168,219,389,384,445,580,445,220,419,797,198,253
"합계",구로구,41,71,123,140,160,151,149,152,151,145,105,85,121,125,171,233,229,217,307,283,168,181,151,116,134,168,346,284,482,628,324,179,293,441,151,290
"합계",금천구,13,22,60,41,53,63,62,62,57,50,42,31,44,50,56,60,67,63,123,90,73,47,42,52,36,64,84,71,67,121,89,61,77,114,52,73
"합계",영등포구,37,98,182,192,189,197,293,184,194,152,119,72,122,125,167,271,322,299,484,438,257,237,179,191,166,255,536,419,458,634,499,209,374,601,195,199
"합계",동작구,31,59,114,109,128,132,147,156,155,104,86,63,131,127,139,222,205,243,469,325,191,167,153,152,164,212,517,451,418,623,365,156,331,606,157,134
"합계",관악구,22,39,77,88,95,288,99,121,116,93,62,55,70,78,113,140,123,175,260,176,118,127,92,89,75,142,223,207,217,303,202,118,256,350,118,177
"합계",서초구,31,83,136,131,178,175,195,198,199,137,109,72,85,100,153,241,266,359,555,378,219,244,292,203,257,252,470,439,399,178,342,222,124,154,262,186
"합계",강남구,70,128,205,186,260,293,270,291,236,251,134,119,151,182,192,269,346,328,610,532,373,285,289,256,197,331,906,502,246,389,604,193,215,260,379,262
"합계",송파구,98,233,265,242,338,295,291,277,290,208,135,135,184,170,246,352,403,441,705,588,415,251,289,285,224,389,724,837,271,367,849,232,257,501,647,370
"합계",강동구,83,182,199,198,254,256,192,254,213,162,103,89,143,154,189,253,279,441,715,364,280,178,200,271,149,318,601,438,390,864,511,239,568,887,221,184
