,date,from_province,to_province,from_district,to_district,total_people,male,female
0,202301,서울특별시,서울특별시,중구,중구,176,96,80
1,202302,서울특별시,서울특별시,중구,중구,163,93,70
2,202303,서울특별시,서울특별시,중구,중구,243,129,114
3,202301,서울특별시,서울특별시,중구,종로구,30,14,16
4,202302,서울특별시,서울특별시,중구,종로구,45,19,26
5,202303,서울특별시,서울특별시,중구,종로구,58,27,31
6,202301,서울특별시,서울특별시,중구,용산구,57,30,27
7,202302,서울특별시,서울특별시,중구,용산구,49,21,28
8,202303,서울특별시,서울특별시,중구,용산구,86,39,47
9,202301,서울특별시,서울특별시,중구,성동구,68,30,38
10,202302,서울특별시,서울특별시,중구,성동구,87,42,45
11,202303,서울특별시,서울특별시,중구,성동구,107,47,60
12,202301,서울특별시,서울특별시,중구,광진구,29,8,21
13,202302,서울특별시,서울특별시,중구,광진구,41,20,21
14,202303,서울특별시,서울특별시,중구,광진구,41,16,25
15,202301,서울특별시,서울특별시,중구,동대문구,27,12,15
16,202302,서울특별시,서울특별시,중구,동대문구,59,30,29
17,202303,서울특별시,서울특별시,중구,동대문구,50,23,27
18,202301,서울특별시,서울특별시,중구,중랑구,16,10,6
19,202302,서울특별시,서울특별시,중구,중랑구,19,14,5
20,202303,서울특별시,서울특별시,중구,중랑구,31,16,15
21,202301,서울특별시,서울특별시,중구,성북구,37,23,14
22,202302,서울특별시,서울특별시,중구,성북구,64,32,32
23,202303,서울특별시,서울특별시,중구,성북구,58,30,28
24,202301,서울특별시,서울특별시,중구,강북구,25,14,11
25,202302,서울특별시,서울특별시,중구,강북구,34,15,19
26,202303,서울특별시,서울특별시,중구,강북구,26,10,16
27,202301,서울특별시,서울특별시,중구,도봉구,13,5,8
28,202302,서울특별시,서울특별시,중구,도봉구,22,11,11
29,202303,서울특별시,서울특별시,중구,도봉구,21,12,9
30,202301,서울특별시,서울특별시,중구,노원구,24,11,13
31,202302,서울특별시,서울특별시,중구,노원구,35,19,16
32,202303,서울특별시,서울특별시,중구,노원구,46,26,20
33,202301,서울특별시,서울특별시,중구,은평구,18,6,12
34,202302,서울특별시,서울특별시,중구,은평구,44,20,24
35,202303,서울특별시,서울특별시,중구,은평구,47,22,25
36,202301,서울특별시,서울특별시,중구,서대문구,13,6,7
37,202302,서울특별시,서울특별시,중구,서대문구,48,22,26
38,202303,서울특별시,서울특별시,중구,서대문구,82,38,44
39,202301,서울특별시,서울특별시,중구,마포구,59,22,37
40,202302,서울특별시,서울특별시,중구,마포구,63,34,29
41,202303,서울특별시,서울특별시,중구,마포구,83,41,42
42,202301,서울특별시,서울특별시,중구,양천구,1,0,1
43,202302,서울특별시,서울특별시,중구,양천구,9,3,6
44,202303,서울특별시,서울특별시,중구,양천구,18,5,13
45,202301,서울특별시,서울특별시,중구,강서구,8,5,3
46,202302,서울특별시,서울특별시,중구,강서구,15,7,8
47,202303,서울특별시,서울특별시,중구,강서구,36,20,16
48,202301,서울특별시,서울특별시,중구,구로구,11,8,3
49,202302,서울특별시,서울특별시,중구,구로구,15,7,8
50,202303,서울특별시,서울특별시,중구,구로구,15,11,4
51,202301,서울특별시,서울특별시,중구,금천구,5,2,3
52,202302,서울특별시,서울특별시,중구,금천구,10,4,6
53,202303,서울특별시,서울특별시,중구,금천구,9,4,5
54,202301,서울특별시,서울특별시,중구,영등포구,27,12,15
55,202302,서울특별시,서울특별시,중구,영등포구,31,15,16
56,202303,서울특별시,서울특별시,중구,영등포구,56,26,30
57,202301,서울특별시,서울특별시,중구,동작구,20,14,6
58,202302,서울특별시,서울특별시,중구,동작구,40,17,23
59,202303,서울특별시,서울특별시,중구,동작구,27,13,14
60,202301,서울특별시,서울특별시,중구,관악구,24,12,12
61,202302,서울특별시,서울특별시,중구,관악구,31,13,18
62,202303,서울특별시,서울특별시,중구,관악구,55,28,27
63,202301,서울특별시,서울특별시,중구,서초구,22,12,10
64,202302,서울특별시,서울특별시,중구,서초구,50,20,30
65,202303,서울특별시,서울특별시,중구,서초구,40,17,23
66,202301,서울특별시,서울특별시,중구,강남구,45,20,25
67,202302,서울특별시,서울특별시,중구,강남구,75,40,35
68,202303,서울특별시,서울특별시,중구,강남구,60,35,25
69,202301,서울특별시,서울특별시,중구,송파구,29,13,16
70,202302,서울특별시,서울특별시,중구,송파구,42,15,27
71,202303,서울특별시,서울특별시,중구,송파구,56,24,32
72,202301,서울특별시,서울특별시,중구,강동구,8,4,4
73,202302,서울특별시,서울특별시,중구,강동구,28,13,15
74,202303,서울특별시,서울특별시,중구,강동구,23,12,11
75,202301,서울특별시,서울특별시,종로구,중구,35,19,16
76,202302,서울특별시,서울특별시,종로구,중구,59,25,34
77,202303,서울특별시,서울특별시,종로구,중구,44,25,19
78,202301,서울특별시,서울특별시,종로구,종로구,155,73,82
79,202302,서울특별시,서울특별시,종로구,종로구,205,98,107
80,202303,서울특별시,서울특별시,종로구,종로구,284,141,143
81,202301,서울특별시,서울특별시,종로구,용산구,31,15,16
82,202302,서울특별시,서울특별시,종로구,용산구,40,22,18
83,202303,서울특별시,서울특별시,종로구,용산구,31,15,16
84,202301,서울특별시,서울특별시,종로구,성동구,33,14,19
85,202302,서울특별시,서울특별시,종로구,성동구,40,21,19
86,202303,서울특별시,서울특별시,종로구,성동구,35,14,21
87,202301,서울특별시,서울특별시,종로구,광진구,24,16,8
88,202302,서울특별시,서울특별시,종로구,광진구,20,11,9
89,202303,서울특별시,서울특별시,종로구,광진구,17,7,10
90,202301,서울특별시,서울특별시,종로구,동대문구,39,27,12
91,202302,서울특별시,서울특별시,종로구,동대문구,40,18,22
92,202303,서울특별시,서울특별시,종로구,동대문구,31,16,15
93,202301,서울특별시,서울특별시,종로구,중랑구,6,2,4
94,202302,서울특별시,서울특별시,종로구,중랑구,22,11,11
95,202303,서울특별시,서울특별시,종로구,중랑구,13,7,6
96,202301,서울특별시,서울특별시,종로구,성북구,70,29,41
97,202302,서울특별시,서울특별시,종로구,성북구,121,46,75
98,202303,서울특별시,서울특별시,종로구,성북구,118,58,60
99,202301,서울특별시,서울특별시,종로구,강북구,9,6,3
100,202302,서울특별시,서울특별시,종로구,강북구,37,14,23
101,202303,서울특별시,서울특별시,종로구,강북구,17,10,7
102,202301,서울특별시,서울특별시,종로구,도봉구,19,10,9
103,202302,서울특별시,서울특별시,종로구,도봉구,26,14,12
104,202303,서울특별시,서울특별시,종로구,도봉구,10,4,6
105,202301,서울특별시,서울특별시,종로구,노원구,24,11,13
106,202302,서울특별시,서울특별시,종로구,노원구,26,12,14
107,202303,서울특별시,서울특별시,종로구,노원구,24,10,14
108,202301,서울특별시,서울특별시,종로구,은평구,38,17,21
109,202302,서울특별시,서울특별시,종로구,은평구,37,18,19
110,202303,서울특별시,서울특별시,종로구,은평구,57,28,29
111,202301,서울특별시,서울특별시,종로구,서대문구,58,31,27
112,202302,서울특별시,서울특별시,종로구,서대문구,118,53,65
113,202303,서울특별시,서울특별시,종로구,서대문구,73,34,39
114,202301,서울특별시,서울특별시,종로구,마포구,39,17,22
115,202302,서울특별시,서울특별시,종로구,마포구,72,29,43
116,202303,서울특별시,서울특별시,종로구,마포구,46,22,24
117,202301,서울특별시,서울특별시,종로구,양천구,6,2,4
118,202302,서울특별시,서울특별시,종로구,양천구,26,14,12
119,202303,서울특별시,서울특별시,종로구,양천구,22,11,11
120,202301,서울특별시,서울특별시,종로구,강서구,18,12,6
121,202302,서울특별시,서울특별시,종로구,강서구,31,19,12
122,202303,서울특별시,서울특별시,종로구,강서구,28,15,13
123,202301,서울특별시,서울특별시,종로구,구로구,11,8,3
124,202302,서울특별시,서울특별시,종로구,구로구,31,14,17
125,202303,서울특별시,서울특별시,종로구,구로구,7,3,4
126,202301,서울특별시,서울특별시,종로구,금천구,4,1,3
127,202302,서울특별시,서울특별시,종로구,금천구,4,3,1
128,202303,서울특별시,서울특별시,종로구,금천구,10,2,8
129,202301,서울특별시,서울특별시,종로구,영등포구,17,7,10
130,202302,서울특별시,서울특별시,종로구,영등포구,29,16,13
131,202303,서울특별시,서울특별시,종로구,영등포구,23,14,9
132,202301,서울특별시,서울특별시,종로구,동작구,13,7,6
133,202302,서울특별시,서울특별시,종로구,동작구,36,15,21
134,202303,서울특별시,서울특별시,종로구,동작구,33,15,18
135,202301,서울특별시,서울특별시,종로구,관악구,26,14,12
136,202302,서울특별시,서울특별시,종로구,관악구,58,30,28
137,202303,서울특별시,서울특별시,종로구,관악구,43,15,28
138,202301,서울특별시,서울특별시,종로구,서초구,31,17,14
139,202302,서울특별시,서울특별시,종로구,서초구,42,25,17
140,202303,서울특별시,서울특별시,종로구,서초구,18,12,6
141,202301,서울특별시,서울특별시,종로구,강남구,54,25,29
142,202302,서울특별시,서울특별시,종로구,강남구,59,25,34
143,202303,서울특별시,서울특별시,종로구,강남구,42,22,20
144,202301,서울특별시,서울특별시,종로구,송파구,28,11,17
145,202302,서울특별시,서울특별시,종로구,송파구,55,28,27
146,202303,서울특별시,서울특별시,종로구,송파구,34,21,13
147,202301,서울특별시,서울특별시,종로구,강동구,10,4,6
148,202302,서울특별시,서울특별시,종로구,강동구,33,18,15
149,202303,서울특별시,서울특별시,종로구,강동구,11,7,4
150,202301,서울특별시,서울특별시,용산구,중구,34,22,12
151,202302,서울특별시,서울특별시,용산구,중구,54,31,23
152,202303,서울특별시,서울특별시,용산구,중구,60,38,22
153,202301,서울특별시,서울특별시,용산구,종로구,33,18,15
154,202302,서울특별시,서울특별시,용산구,종로구,44,24,20
155,202303,서울특별시,서울특별시,용산구,종로구,34,22,12
156,202301,서울특별시,서울특별시,용산구,용산구,332,170,162
157,202302,서울특별시,서울특별시,용산구,용산구,413,190,223
158,202303,서울특별시,서울특별시,용산구,용산구,431,213,218
159,202301,서울특별시,서울특별시,용산구,성동구,46,25,21
160,202302,서울특별시,서울특별시,용산구,성동구,47,26,21
161,202303,서울특별시,서울특별시,용산구,성동구,69,31,38
162,202301,서울특별시,서울특별시,용산구,광진구,24,14,10
163,202302,서울특별시,서울특별시,용산구,광진구,39,21,18
164,202303,서울특별시,서울특별시,용산구,광진구,31,14,17
165,202301,서울특별시,서울특별시,용산구,동대문구,29,20,9
166,202302,서울특별시,서울특별시,용산구,동대문구,43,24,19
167,202303,서울특별시,서울특별시,용산구,동대문구,26,14,12
168,202301,서울특별시,서울특별시,용산구,중랑구,15,8,7
169,202302,서울특별시,서울특별시,용산구,중랑구,12,10,2
170,202303,서울특별시,서울특별시,용산구,중랑구,6,3,3
171,202301,서울특별시,서울특별시,용산구,성북구,55,19,36
172,202302,서울특별시,서울특별시,용산구,성북구,56,29,27
173,202303,서울특별시,서울특별시,용산구,성북구,45,26,19
174,202301,서울특별시,서울특별시,용산구,강북구,13,4,9
175,202302,서울특별시,서울특별시,용산구,강북구,17,10,7
176,202303,서울특별시,서울특별시,용산구,강북구,16,8,8
177,202301,서울특별시,서울특별시,용산구,도봉구,16,7,9
178,202302,서울특별시,서울특별시,용산구,도봉구,12,4,8
179,202303,서울특별시,서울특별시,용산구,도봉구,10,3,7
180,202301,서울특별시,서울특별시,용산구,노원구,22,13,9
181,202302,서울특별시,서울특별시,용산구,노원구,33,16,17
182,202303,서울특별시,서울특별시,용산구,노원구,19,8,11
183,202301,서울특별시,서울특별시,용산구,은평구,29,18,11
184,202302,서울특별시,서울특별시,용산구,은평구,55,29,26
185,202303,서울특별시,서울특별시,용산구,은평구,39,19,20
186,202301,서울특별시,서울특별시,용산구,서대문구,47,22,25
187,202302,서울특별시,서울특별시,용산구,서대문구,75,41,34
188,202303,서울특별시,서울특별시,용산구,서대문구,50,23,27
189,202301,서울특별시,서울특별시,용산구,마포구,93,46,47
190,202302,서울특별시,서울특별시,용산구,마포구,162,82,80
191,202303,서울특별시,서울특별시,용산구,마포구,143,73,70
192,202301,서울특별시,서울특별시,용산구,양천구,24,12,12
193,202302,서울특별시,서울특별시,용산구,양천구,39,18,21
194,202303,서울특별시,서울특별시,용산구,양천구,31,14,17
195,202301,서울특별시,서울특별시,용산구,강서구,51,25,26
196,202302,서울특별시,서울특별시,용산구,강서구,56,33,23
197,202303,서울특별시,서울특별시,용산구,강서구,46,20,26
198,202301,서울특별시,서울특별시,용산구,구로구,19,7,12
199,202302,서울특별시,서울특별시,용산구,구로구,22,8,14
200,202303,서울특별시,서울특별시,용산구,구로구,15,6,9
201,202301,서울특별시,서울특별시,용산구,금천구,14,6,8
202,202302,서울특별시,서울특별시,용산구,금천구,8,4,4
203,202303,서울특별시,서울특별시,용산구,금천구,15,7,8
204,202301,서울특별시,서울특별시,용산구,영등포구,42,18,24
205,202302,서울특별시,서울특별시,용산구,영등포구,60,32,28
206,202303,서울특별시,서울특별시,용산구,영등포구,57,26,31
207,202301,서울특별시,서울특별시,용산구,동작구,61,28,33
208,202302,서울특별시,서울특별시,용산구,동작구,65,31,34
209,202303,서울특별시,서울특별시,용산구,동작구,60,28,32
210,202301,서울특별시,서울특별시,용산구,관악구,38,21,17
211,202302,서울특별시,서울특별시,용산구,관악구,89,41,48
212,202303,서울특별시,서울특별시,용산구,관악구,72,43,29
213,202301,서울특별시,서울특별시,용산구,서초구,73,36,37
214,202302,서울특별시,서울특별시,용산구,서초구,73,30,43
215,202303,서울특별시,서울특별시,용산구,서초구,122,58,64
216,202301,서울특별시,서울특별시,용산구,강남구,74,33,41
217,202302,서울특별시,서울특별시,용산구,강남구,140,70,70
218,202303,서울특별시,서울특별시,용산구,강남구,100,50,50
219,202301,서울특별시,서울특별시,용산구,송파구,30,16,14
220,202302,서울특별시,서울특별시,용산구,송파구,32,21,11
221,202303,서울특별시,서울특별시,용산구,송파구,70,35,35
222,202301,서울특별시,서울특별시,용산구,강동구,19,10,9
223,202302,서울특별시,서울특별시,용산구,강동구,24,11,13
224,202303,서울특별시,서울특별시,용산구,강동구,19,11,8
225,202301,서울특별시,서울특별시,성동구,중구,55,21,34
226,202302,서울특별시,서울특별시,성동구,중구,69,34,35
227,202303,서울특별시,서울특별시,성동구,중구,92,50,42
228,202301,서울특별시,서울특별시,성동구,종로구,36,19,17
229,202302,서울특별시,서울특별시,성동구,종로구,39,24,15
230,202303,서울특별시,서울특별시,성동구,종로구,34,13,21
231,202301,서울특별시,서울특별시,성동구,용산구,47,24,23
232,202302,서울특별시,서울특별시,성동구,용산구,52,27,25
233,202303,서울특별시,서울특별시,성동구,용산구,80,33,47
234,202301,서울특별시,서울특별시,성동구,성동구,442,220,222
235,202302,서울특별시,서울특별시,성동구,성동구,581,267,314
236,202303,서울특별시,서울특별시,성동구,성동구,658,316,342
237,202301,서울특별시,서울특별시,성동구,광진구,109,52,57
238,202302,서울특별시,서울특별시,성동구,광진구,155,66,89
239,202303,서울특별시,서울특별시,성동구,광진구,133,59,74
240,202301,서울특별시,서울특별시,성동구,동대문구,99,47,52
241,202302,서울특별시,서울특별시,성동구,동대문구,140,68,72
242,202303,서울특별시,서울특별시,성동구,동대문구,136,72,64
243,202301,서울특별시,서울특별시,성동구,중랑구,25,7,18
244,202302,서울특별시,서울특별시,성동구,중랑구,50,29,21
245,202303,서울특별시,서울특별시,성동구,중랑구,54,26,28
246,202301,서울특별시,서울특별시,성동구,성북구,62,29,33
247,202302,서울특별시,서울특별시,성동구,성북구,98,45,53
248,202303,서울특별시,서울특별시,성동구,성북구,78,33,45
249,202301,서울특별시,서울특별시,성동구,강북구,18,11,7
